day,new_accounts,anonymous_message,total_messages,topic_growth
2025-04-02,20,52.0000,3500,660.8695652173913
2025-04-03,20,80.0000,1800,-48.57142857142857
2025-04-04,20,57.8947,2280,26.666666666666668
2025-04-05,20,110.0000,1600,-29.82456140350877
2025-04-06,20,83.3333,1920,20.0
2025-04-07,20,44.4444,3240,68.75
2025-04-08,20,100.0000,840,-74.07407407407408
2025-04-09,20,133.3333,300,-64.28571428571429
2025-04-10,20,100.0000,600,100.0
2025-04-11,20,75.0000,960,60.0
2025-04-12,20,70.0000,1200,25.0
2025-04-13,20,80.0000,2000,66.66666666666666
2025-04-14,20,200.0000,540,-73.0
2025-04-15,20,100.0000,800,48.148148148148145
2025-04-16,20,100.0000,1260,57.49999999999999
2025-04-17,20,175.0000,720,-42.857142857142854
2025-04-18,20,175.0000,720,0.0
2025-04-19,20,100.0000,640,-11.11111111111111
2025-04-20,20,900.0000,100,-84.375
2025-04-21,20,114.2857,1400,1300.0
2025-04-22,20,160.0000,800,-42.857142857142854
2025-04-23,20,200.0000,800,0.0
2025-04-24,20,225.0000,720,-10.0
2025-04-25,20,450.0000,400,-44.44444444444444
2025-04-26,20,,0,-100.0
2025-04-27,20,,0,0
2025-04-28,20,,0,0
2025-04-29,20,,0,0
2025-04-30,20,,0,0
